iter	Passed	Remaining
0	0	97
1	1	87
2	2	80
3	3	74
4	3	73
5	4	72
6	5	73
7	6	74
8	7	73
9	7	71
10	8	70
11	9	68
12	10	67
13	10	66
14	11	67
15	12	67
16	13	66
17	14	65
18	15	64
19	15	63
20	16	62
21	17	61
22	18	61
23	19	60
24	19	59
25	20	58
26	21	57
27	21	56
28	22	55
29	23	55
30	24	54
31	25	53
32	26	52
33	26	52
34	27	51
35	28	50
36	28	49
37	29	48
38	30	47
39	31	47
40	32	46
41	32	45
42	33	44
43	34	43
44	34	42
45	35	42
46	36	41
47	37	40
48	38	39
49	39	39
50	39	38
51	40	37
52	41	36
53	41	35
54	42	34
55	43	33
56	43	33
57	44	32
58	45	31
59	46	30
60	46	30
61	47	29
62	48	28
63	49	27
64	49	26
65	50	26
66	51	25
67	51	24
68	52	23
69	53	22
70	53	22
71	54	21
72	55	20
73	56	19
74	56	18
75	57	18
76	58	17
77	58	16
78	59	15
79	60	15
80	61	14
81	62	13
82	62	12
83	63	12
84	64	11
85	64	10
86	65	9
87	66	9
88	67	8
89	67	7
90	68	6
91	69	6
92	70	5
93	70	4
94	71	3
95	72	3
96	73	2
97	74	1
98	74	0
99	75	0
